category,amt,gender,lat,long,city_pop,merch_lat,merch_long,is_fraud,age
home,78.62,M,44.6437,-90.1031,828,45.065251,-89.57488599999998,0,26-39
grocery_pos,85.67,F,48.34,-122.3456,85,48.920591,-121.676376,0,40-64
shopping_pos,9.23,F,33.615,-117.7114,45303,34.302402,-116.756631,0,>=65
personal_care,52.3,F,44.9913,-92.9487,753116,44.153933,-93.24669,0,40-64
shopping_net,94.88,M,43.19600000000001,-72.3001,477,43.47241,-71.83801,0,26-39
entertainment,41.61,F,33.6401,-116.5567,1661,33.183902,-116.948302,0,26-39
shopping_net,1086.91,F,31.6591,-96.8094,263,32.217128,-96.953042,1,>=65
grocery_pos,367.51,F,40.2236,-76.538,213,40.76229,-77.253398,1,40-64
personal_care,8.15,M,40.6153,-79.4545,972,41.52294000000001,-79.18253299999998,0,26-39
shopping_net,1107.13,M,39.3764,-76.729,33917,39.522716,-75.77735799999998,1,40-64
shopping_pos,5.71,F,30.7145,-88.0918,270712,31.476481,-88.085976,0,40-64
shopping_pos,7.35,F,43.7893,-75.4156,8830,43.958054,-76.341948,0,26-39
gas_transport,59.3,M,42.1767,-79.9416,2518,42.813886,-78.95721400000002,0,>=65
misc_net,809.64,M,44.8232,-89.1665,3223,44.90492,-90.128566,1,>=65
misc_pos,6.43,F,33.6773,-118.0051,190249,33.041579,-117.853118,1,40-64
health_fitness,74.87,M,48.1439,-92.8561,1680,48.800182,-92.65015,0,40-64
travel,6.69,M,33.4629,-86.7904,493806,33.384589,-86.432302,0,40-64
grocery_pos,336.71,F,39.8127,-120.6405,1725,39.894543,-121.344376,1,>=65
shopping_net,1041.34,M,41.14100000000001,-84.5722,6284,41.01127,-83.99739100000002,1,>=65
shopping_net,1078.9,M,36.0435,-84.04,25459,36.082321,-83.753869,1,>=65
shopping_pos,899.14,M,43.1128,-77.4906,8019,43.550167,-77.908723,1,>=65
shopping_net,1086.61,F,38.4549,-122.2564,94014,38.009217,-122.483321,1,40-64
