id,sex,race
2852,F,CHINESE
2670,F,MALAY
3064,F,CHINESE
2862,F,CHINESE
2861,F,CHINESE
2857,M,CHINESE
2828,F,CHINESE
2858,F,CHINESE
2888,M,CHINESE
3159,M,INDIAN
3162,F,INDIAN
2954,F,CHINESE
2957,F,CHINESE
2952,M,CHINESE
2939,F,CHINESE
2945,F,CHINESE
2940,F,CHINESE
2953,M,CHINESE
2955,F,INDIAN
2946,M,CHINESE
2958,F,CHINESE
2968,F,CHINESE
2964,M,CHINESE
2959,M,CHINESE
2965,M,CHINESE
2947,F,CHINESE
2941,F,CHINESE
2960,F,CHINESE
2969,M,CHINESE
2974,F,CHINESE
2971,F,CHINESE
2942,F,CHINESE
2970,F,CHINESE
2961,F,CHINESE
2966,M,CHINESE
2948,M,CHINESE
2972,M,CHINESE
2962,M,CHINESE
2980,M,CHINESE
2967,F,INDIAN
2975,F,CHINESE
2987,F,CHINESE
2973,F,CHINESE
2976,F,CHINESE
2963,F,CHINESE
2981,F,CHINESE
2985,M,CHINESE
2992,M,CHINESE
2988,F,MALAY
2982,F,CHINESE
2977,F,CHINESE
2978,F,CHINESE
2983,M,CHINESE
2989,M,CHINESE
2990,M,MALAY
2979,F,MALAY
2984,F,CHINESE
2993,M,CHINESE
3009,F,INDIAN
3004,F,MALAY
2986,M,MALAY
3010,M,MALAY
2996,F,CHINESE
3005,F,CHINESE
2994,M,INDIAN
2991,F,INDIAN
3011,F,INDIAN
3006,M,MALAY
3012,F,MALAY
3013,M,MALAY
2998,F,MALAY
3001,M,MALAY
3015,M,MALAY
2997,F,MALAY
2995,F,MALAY
3014,F,MALAY
3007,F,CHINESE
2999,F,MALAY
3002,F,MALAY
3024,M,MALAY
3023,M,MALAY
3016,F,INDIAN
3017,M,MALAY
2877,F,CHINESE
2878,M,CHINESE
2879,F,INDIAN
3018,F,MALAY
3000,F,MALAY
3025,F,INDIAN
3020,M,MALAY
3008,F,CHINESE
3003,F,CHINESE
3019,F,INDIAN
3021,M,INDIAN
3026,M,MALAY
3041,F,INDIAN
3042,F,INDIAN
3033,F,CHINESE
3028,F,MALAY
3034,M,MALAY
3027,F,MALAY
3043,M,MALAY
3045,M,MALAY
3035,F,MALAY
3044,F,INDIAN
3029,M,INDIAN
3022,F,CHINESE
3050,F,CHINESE
3030,M,INDIAN
3081,M,CHINESE
3031,F,MALAY
3052,F,MALAY
3051,F,INDIAN
3062,M,INDIAN
3056,F,INDIAN
3057,F,MALAY
3046,F,MALAY
3048,M,MALAY
3054,F,CHINESE
3059,F,CHINESE
3058,F,CHINESE
3047,F,INDIAN
3053,F,INDIAN
3063,M,INDIAN
3032,M,MALAY
3065,M,CHINESE
3049,F,MALAY
3060,M,MALAY
3055,F,INDIAN
3070,M,INDIAN
3076,F,MALAY
3068,M,INDIAN
3061,M,MALAY
3066,M,MALAY
3071,M,INDIAN
3083,F,MALAY
3069,M,MALAY
3077,M,MALAY
3067,M,MALAY
3082,F,INDIAN
3093,M,CHINESE
3072,F,INDIAN
3078,F,INDIAN
3088,M,MALAY
3084,F,MALAY
3094,F,MALAY
3086,M,MALAY
3080,M,MALAY
3074,M,MALAY
3079,M,MALAY
3089,M,CHINESE
3085,M,CHINESE
3073,M,CHINESE
3099,F,INDIAN
3087,F,CHINESE
3075,M,CHINESE
3090,M,CHINESE
3095,M,INDIAN
3104,F,MALAY
3091,M,INDIAN
3100,M,CHINESE
3105,M,INDIAN
3109,M,INDIAN
3096,F,INDIAN
3092,M,CHINESE
3101,M,CHINESE
3106,M,CHINESE
3114,M,INDIAN
3097,M,MALAY
3103,M,CHINESE
3107,F,CHINESE
3110,M,INDIAN
3124,M,INDIAN
3108,M,INDIAN
3111,F,INDIAN
3115,M,INDIAN
3098,M,INDIAN
3130,F,INDIAN
3116,M,INDIAN
3125,M,INDIAN
3112,F,INDIAN
3136,F,INDIAN
3117,M,CHINESE
3113,M,CHINESE
3126,M,INDIAN
3118,M,CHINESE
3155,F,INDIAN
3127,M,INDIAN
3144,M,CHINESE
3131,F,INDIAN
3128,M,INDIAN
3141,M,INDIAN
3129,F,INDIAN
3132,M,INDIAN
3145,M,CHINESE
3137,F,INDIAN
3138,F,INDIAN
3133,M,INDIAN
3146,M,INDIAN
3150,F,INDIAN
3142,M,INDIAN
3143,M,INDIAN
3139,M,CHINESE
3147,M,INDIAN
3134,M,INDIAN
3151,F,INDIAN
3153,M,CHINESE
3140,M,INDIAN
3154,M,INDIAN
3148,F,INDIAN
3157,M,CHINESE
3158,M,CHINESE
3149,F,OTHERS
3135,F,INDIAN
3152,M,CHINESE
2831,F,CHINESE
3156,M,INDIAN
