sex,race,truth_count,match_count
F,CHINESE,80,60
F,CHINESE,89,64
M,CHINESE,82,53
F,INDIAN,85,53
M,CHINESE,73,47
F,CHINESE,84,50
M,CHINESE,81,56
M,CHINESE,78,52
F,CHINESE,79,50
F,CHINESE,81,55
M,MALAY,82,56
F,CHINESE,87,46
M,CHINESE,83,52
F,INDIAN,85,59
F,MALAY,88,52
M,MALAY,72,55
F,CHINESE,85,58
F,INDIAN,82,57
F,MALAY,79,46
M,MALAY,76,52
F,MALAY,74,49
F,MALAY,80,48
F,MALAY,89,52
F,MALAY,80,53
F,MALAY,76,51
M,MALAY,90,48
F,INDIAN,80,64
F,INDIAN,86,64
F,INDIAN,76,51
M,MALAY,77,47
F,INDIAN,86,55
F,INDIAN,79,59
F,MALAY,82,57
M,MALAY,79,51
F,MALAY,74,49
F,INDIAN,83,61
M,INDIAN,80,59
F,INDIAN,89,66
F,MALAY,95,60
M,MALAY,84,59
M,CHINESE,83,60
M,MALAY,89,66
F,INDIAN,86,65
M,INDIAN,89,53
M,INDIAN,80,57
M,MALAY,83,56
M,MALAY,90,52
M,MALAY,92,55
F,INDIAN,86,58
M,MALAY,85,56
M,MALAY,82,51
M,MALAY,81,56
M,MALAY,93,56
F,MALAY,81,54
M,INDIAN,82,53
F,INDIAN,78,63
M,CHINESE,80,54
M,INDIAN,80,61
M,INDIAN,82,53
M,INDIAN,78,60
F,INDIAN,91,59
M,INDIAN,91,57
M,CHINESE,94,66
M,INDIAN,76,57
F,INDIAN,79,55
M,INDIAN,84,62
M,CHINESE,79,59
M,INDIAN,78,47
M,INDIAN,77,53
F,INDIAN,83,58
F,INDIAN,82,60
M,INDIAN,78,56
M,INDIAN,81,62
M,INDIAN,79,57
M,CHINESE,81,55
F,INDIAN,79,56
M,INDIAN,80,60
F,INDIAN,86,69
M,MALAY,66,49
M,MALAY,73,55
F,INDIAN,74,45
M,MALAY,68,56
F,CHINESE,78,49
F,CHINESE,86,57
F,CHINESE,95,63
F,CHINESE,89,56
M,INDIAN,80,51
M,CHINESE,83,53
F,CHINESE,84,60
F,MALAY,80,53
F,MALAY,79,54
F,MALAY,82,58
M,MALAY,89,56
M,MALAY,79,61
F,CHINESE,90,51
F,INDIAN,80,53
M,CHINESE,80,56
F,INDIAN,88,52
M,CHINESE,91,59
F,CHINESE,84,58
M,MALAY,89,53
M,INDIAN,84,48
M,MALAY,80,43
M,MALAY,81,53
M,INDIAN,86,55
M,INDIAN,90,48
M,MALAY,82,51
M,INDIAN,90,61
M,MALAY,91,65
M,INDIAN,85,55
M,INDIAN,96,56
M,INDIAN,102,78
M,MALAY,79,50
M,MALAY,76,57
F,CHINESE,78,52
F,CHINESE,84,56
M,CHINESE,98,52
F,CHINESE,107,68
F,CHINESE,81,57
F,CHINESE,86,52
M,CHINESE,84,56
F,MALAY,86,55
M,CHINESE,79,49
M,CHINESE,81,51
M,CHINESE,89,59
M,MALAY,79,56
M,MALAY,86,58
M,MALAY,75,55
M,MALAY,81,51
M,MALAY,81,49
M,MALAY,88,61
M,INDIAN,89,60
M,MALAY,88,57
M,MALAY,76,52
M,MALAY,91,62
M,MALAY,96,71
M,INDIAN,88,69
M,MALAY,97,56
M,MALAY,81,60
M,MALAY,83,59
M,MALAY,84,52
M,INDIAN,97,60
M,INDIAN,94,62
F,INDIAN,88,62
M,INDIAN,93,65
M,MALAY,97,67
M,INDIAN,78,56
F,INDIAN,86,53
F,INDIAN,80,60
M,INDIAN,90,56
M,MALAY,92,58
M,INDIAN,79,58
